uf;br;municipio;mes;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
RS;290;BUTIA;10;sexta-feira;Anoitecer;Demais falhas mecânicas ou elétricas;Colisão lateral sentido oposto;Chuva;Simples;Reta;Sim;false
SP;116;GUARULHOS;10;sexta-feira;Plena Noite;Ausência de reação do condutor;Colisão com objeto;Chuva;Múltipla;Reta;Sim;false
RO;174;VILHENA;10;sexta-feira;Plena Noite;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Simples;Reta;Sim;false
MG;354;ITAMONTE;10;sexta-feira;Anoitecer;Estacionar ou parar em local proibido;Colisão traseira;Chuva;Simples;Curva;Não;false
MG;354;ITAMONTE;10;sexta-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Não;false
SC;101;BARRA VELHA;10;sexta-feira;Plena Noite;Pista esburacada;Tombamento;Chuva;Múltipla;Interseção de Vias;Sim;false
RS;290;ELDORADO DO SUL;10;sexta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Chuva;Simples;Rotatória;Sim;false
RS;386;ESTRELA;10;sexta-feira;Plena Noite;Acumulo de água sobre o pavimento;Saída de leito carroçável;Chuva;Dupla;Curva;Não;false
GO;60;TEREZOPOLIS DE GOIAS;10;sexta-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Nublado;Dupla;Reta;Sim;false
MG;40;CONSELHEIRO LAFAIETE;10;sexta-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Ignorado;Simples;Rotatória;Sim;false
MG;365;MONTE ALEGRE DE MINAS;10;sexta-feira;Plena Noite;Ausência de reação do condutor;Tombamento;Garoa/Chuvisco;Simples;Curva;Não;false
