uf;br;municipio;mes;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
SP;116;GUARULHOS;1;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Múltipla;"Reta;Declive";Sim;false
CE;116;PENAFORTE;1;quarta-feira;Pleno dia;Pista esburacada;Colisão frontal;Céu Claro;Simples;Reta;Não;true
PR;369;CORNELIO PROCOPIO;1;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Dupla;"Reta;Aclive";Sim;false
PR;116;CAMPINA GRANDE DO SUL;1;quarta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não;false
MG;251;FRANCISCO SA;1;quarta-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Chuva;Simples;"Curva;Declive";Não;false
MT;70;CACERES;1;quarta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Céu Claro;Simples;Reta;Não;true
RS;116;TAPES;1;quarta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não;false
SC;101;SAO JOSE;1;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Nublado;Dupla;Reta;Sim;false
MG;116;MURIAE;1;quarta-feira;Anoitecer;Velocidade Incompatível;Tombamento;Nublado;Simples;Curva;Não;true
PE;407;AFRANIO;1;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;"Aclive;Curva";Não;false
SC;101;CAPIVARI DE BAIXO;1;quarta-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão com objeto;Garoa/Chuvisco;Dupla;"Curva;Interseção de Vias";Sim;false
MG;381;RIO MANSO;1;quarta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Chuva;Dupla;Curva;Não;false
PB;405;MARIZOPOLIS;1;quarta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão frontal;Céu Claro;Simples;Curva;Sim;false
MG;116;MURIAE;1;quinta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;Curva;Não;false
SC;153;CONCORDIA;1;quarta-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Nublado;Simples;"Reta;Declive";Não;false
PR;116;FAZENDA RIO GRANDE;1;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Sol;Dupla;Reta;Sim;false
PB;230;MOGEIRO;1;quinta-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não;false
MT;163;GUARANTA DO NORTE;1;quinta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Garoa/Chuvisco;Dupla;"Curva;Aclive";Não;false
PR;163;CAPITAO LEONIDAS MARQUES;1;quinta-feira;Pleno dia;Velocidade Incompatível;Colisão com objeto;Céu Claro;Dupla;"Declive;Reta";Sim;true
MG;40;CONSELHEIRO LAFAIETE;1;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim;false
MT;163;SINOP;1;quinta-feira;Pleno dia;Chuva;Colisão com objeto;Chuva;Simples;Retorno Regulamentado;Sim;false
PE;232;JABOATAO DOS GUARARAPES;1;quinta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Céu Claro;Dupla;Reta;Não;false
PR;116;SAO JOSE DOS PINHAIS;1;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;"Reta;Aclive";Não;false
ES;262;MARECHAL FLORIANO;1;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão com objeto;Céu Claro;Simples;"Ponte;Declive;Curva";Não;false
PE;101;IGARASSU;1;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Múltipla;Reta;Sim;false
RJ;101;RIO DE JANEIRO;1;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Curva;Ponte";Não;false
CE;222;TIANGUA;1;quinta-feira;Pleno dia;Transitar na contramão;Colisão lateral sentido oposto;Sol;Simples;Reta;Não;false
MA;135;MIRANDA DO NORTE;1;quinta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não;false
RS;287;MATA;1;quinta-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
RJ;116;PINHEIRAL;1;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Dupla;Reta;Não;false
RS;290;SAO SEPE;1;quinta-feira;Anoitecer;Ausência de reação do condutor;Colisão frontal;Céu Claro;Simples;Curva;Não;false
TO;230;SAO BENTO DO TOCANTINS;1;quinta-feira;Plena Noite;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Simples;Aclive;Não;false
RJ;393;TRES RIOS;1;quinta-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Sim;false
PR;376;TIBAGI;1;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Chuva;Dupla;"Curva;Declive";Não;false
PI;135;JERUMENHA;1;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;Reta;Não;false
GO;364;MINEIROS;1;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Simples;Reta;Sim;true
PR;369;JURANDA;1;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão frontal;Céu Claro;Simples;Reta;Não;true
MG;116;SANTA BARBARA DO LESTE;1;quinta-feira;Plena Noite;Pedestre andava na pista;Queda de ocupante de veículo;Céu Claro;Simples;Reta;Não;false
GO;20;FORMOSA;1;sexta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Chuva;Simples;"Em Obras;Declive;Curva";Sim;false
SC;282;FAXINAL DOS GUEDES;1;sexta-feira;Plena Noite;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não;false
MG;381;BETIM;1;sexta-feira;Plena Noite;Acumulo de água sobre o pavimento;Saída de leito carroçável;Chuva;Múltipla;"Curva;Declive";Não;false
PE;101;IGARASSU;1;sexta-feira;Amanhecer;Manobra de mudança de faixa;Colisão traseira;Vento;Dupla;Reta;Não;false
ES;101;CARIACICA;1;sexta-feira;Amanhecer;Ausência de reação do condutor;Engavetamento;Nublado;Dupla;"Aclive;Reta";Sim;false
BA;116;ENCRUZILHADA;1;sexta-feira;Amanhecer;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Declive;Reta";Não;true
PB;101;BAYEUX;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Declive;Sim;false
MG;251;FRUTA DE LEITE;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Nublado;Simples;Reta;Não;false
PE;232;SERTANIA;1;sexta-feira;Pleno dia;Carga excessiva e/ou mal acondicionada;Derramamento de carga;Céu Claro;Simples;Reta;Não;false
SP;116;CAJATI;1;sexta-feira;Pleno dia;Curva acentuada;Tombamento;Céu Claro;Simples;"Curva;Declive";Não;false
RO;364;VILHENA;1;sexta-feira;Pleno dia;Área urbana sem a presença de local apropriado para a travessia de pedestres;Colisão lateral sentido oposto;Nublado;Simples;Reta;Sim;false
PE;232;RECIFE;1;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Sim;false
SC;101;BALNEARIO CAMBORIU;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Múltipla;Reta;Sim;false
SP;381;MAIRIPORA;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Dupla;"Reta;Declive";Não;false
GO;153;PORANGATU;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Nublado;Simples;Reta;Não;false
RS;290;ROSARIO DO SUL;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim;false
BA;101;ESPLANADA;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Céu Claro;Simples;"Em Obras;Desvio Temporário;Reta";Não;false
PR;277;LARANJEIRAS DO SUL;1;sexta-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Simples;"Aclive;Interseção de Vias;Reta";Não;false
SC;101;JOINVILLE;1;sexta-feira;Pleno dia;Estacionar ou parar em local proibido;Colisão traseira;Sol;Múltipla;"Aclive;Reta";Sim;true
MS;158;APARECIDA DO TABOADO;1;sexta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Curva;Não;true
SC;101;BARRA VELHA;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não;false
MG;40;ITABIRITO;1;sexta-feira;Pleno dia;Velocidade Incompatível;Colisão com objeto;Chuva;Dupla;Curva;Não;false
RJ;101;ANGRA DOS REIS;1;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;Curva;Não;false
ES;101;VIANA;1;sexta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão traseira;Nublado;Dupla;"Aclive;Retorno Regulamentado";Sim;false
BA;116;BREJOES;1;sexta-feira;Pleno dia;Demais falhas na via;Tombamento;Céu Claro;Simples;"Curva;Aclive";Não;false
RJ;116;DUQUE DE CAXIAS;1;sexta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Sim;true
ES;101;CARIACICA;1;sexta-feira;Plena Noite;Manobra de mudança de faixa;Colisão traseira;Ignorado;Dupla;Reta;Não;false
MG;381;GOVERNADOR VALADARES;1;sexta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Nublado;Simples;Reta;Não;false
MT;364;JUSCIMEIRA;1;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim;false
SP;116;REGISTRO;1;sexta-feira;Pleno dia;Manobra de mudança de faixa;Saída de leito carroçável;Nublado;Dupla;Reta;Sim;false
RO;429;ALVORADA DOESTE;1;sexta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Tombamento;Céu Claro;Simples;"Curva;Declive";Não;false
BA;110;SAO SEBASTIAO DO PASSE;1;sexta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;"Aclive;Reta";Não;false
RJ;101;ANGRA DOS REIS;1;sexta-feira;Plena Noite;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não;false
RJ;116;SAPUCAIA;1;sexta-feira;Anoitecer;Velocidade Incompatível;Tombamento;Nublado;Simples;Reta;Não;false
RJ;40;DUQUE DE CAXIAS;1;sexta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Ignorado;Múltipla;Reta;Sim;false
MG;153;FRUTAL;1;sexta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Chuva;Simples;Reta;Não;true
MG;381;OLIVEIRA;1;sexta-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Nublado;Dupla;Curva;Não;false
RJ;356;ITAPERUNA;1;sábado;Plena Noite;Ausência de reação do condutor;Colisão traseira;Garoa/Chuvisco;Simples;Reta;Não;false
MG;116;ALEM PARAIBA;1;sexta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão lateral sentido oposto;Chuva;Simples;Reta;Não;false
RJ;116;RESENDE;1;sábado;Plena Noite;Condutor Dormindo;Saída de leito carroçável;Nublado;Dupla;Reta;Não;false
SC;101;PORTO BELO;1;sábado;Plena Noite;Ausência de reação do condutor;Queda de ocupante de veículo;Nublado;Dupla;Reta;Sim;false
RS;158;SAO GABRIEL;1;sexta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não;true
MG;262;LUZ;1;sábado;Plena Noite;Ausência de reação do condutor;Colisão lateral sentido oposto;Chuva;Simples;"Curva;Aclive";Não;true
PR;277;SAO JOSE DOS PINHAIS;1;sábado;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não;false
RS;285;CAPAO BONITO DO SUL;1;sábado;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não;false
BA;116;CANDIDO SALES;1;sábado;Amanhecer;Condutor Dormindo;Colisão frontal;Nublado;Simples;Reta;Sim;false
PR;369;UBIRATA;1;sábado;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Sol;Simples;Reta;Não;false
MG;365;PATOS DE MINAS;1;sábado;Pleno dia;Pista Escorregadia;Saída de leito carroçável;Chuva;Simples;Curva;Não;false
PR;153;SANTO ANTONIO DA PLATINA;1;sábado;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão transversal;Céu Claro;Simples;Reta;Não;false
MG;251;FRANCISCO SA;1;sábado;Pleno dia;Chuva;Colisão lateral sentido oposto;Chuva;Simples;"Curva;Declive";Não;false
MT;364;JACIARA;1;sábado;Pleno dia;Demais falhas mecânicas ou elétricas;Engavetamento;Nublado;Dupla;"Declive;Reta";Não;false
SP;116;BARRA DO TURVO;1;sábado;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Curva;Não;false
BA;116;ITATIM;1;sábado;Pleno dia;Manobra de mudança de faixa;Colisão lateral sentido oposto;Sol;Simples;Reta;Não;false
TO;10;PALMAS;1;sábado;Pleno dia;Acumulo de água sobre o pavimento;Queda de ocupante de veículo;Chuva;Dupla;Reta;Não;true
BA;116;PLANALTO;1;sábado;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Não;false
SP;153;NOVA GRANADA;1;sábado;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Nublado;Simples;"Reta;Aclive";Não;false
RS;386;NOVA SANTA RITA;1;sábado;Pleno dia;Ausência de reação do condutor;Colisão transversal;Céu Claro;Dupla;"Interseção de Vias;Rotatória";Sim;false
RJ;116;MAGE;1;sábado;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Dupla;Reta;Não;false
MG;116;ITAMBACURI;1;sábado;Pleno dia;Transitar no Acostamento;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não;false
PB;230;CAMPINA GRANDE;1;sábado;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Sol;Simples;Reta;Não;false
PB;104;LAGOA SECA;1;sábado;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;"Reta;Aclive";Não;false
BA;116;LAMARAO;1;sábado;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Aclive;Reta";Não;true
MG;262;PARA DE MINAS;1;sábado;Plena Noite;Pedestre - Ingestão de álcool/ substâncias psicoativas;Atropelamento de Pedestre;Nublado;Dupla;Reta;Sim;true
MG;116;ORIZANIA;1;sábado;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não;false
PE;428;CABROBO;1;sábado;Plena Noite;Transitar na contramão;Colisão frontal;Nublado;Simples;Reta;Não;true
PR;277;CANTAGALO;1;sábado;Plena Noite;Ingestão de álcool pelo condutor;Colisão frontal;Céu Claro;Simples;Reta;Não;false
SP;116;LORENA;1;sábado;Plena Noite;Ausência de reação do condutor;Capotamento;Nublado;Dupla;Reta;Sim;false
MG;50;UBERABA;1;domingo;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Aclive;Reta";Não;false
BA;116;FEIRA DE SANTANA;1;sábado;Plena Noite;Ausência de reação do condutor;Colisão com objeto;Céu Claro;Dupla;Curva;Sim;false
RJ;116;PIRAI;1;domingo;Pleno dia;Ausência de reação do condutor;Colisão transversal;Nublado;Dupla;"Curva;Declive";Não;false
RO;364;PRESIDENTE MEDICI;1;domingo;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Ignorado;Simples;"Reta;Interseção de Vias";Não;true
RS;386;TRIUNFO;1;domingo;Pleno dia;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Não;false
CE;222;FORQUILHA;1;domingo;Pleno dia;Afundamento ou ondulação no pavimento;Queda de ocupante de veículo;Nublado;Simples;Reta;Não;false
MG;116;ALEM PARAIBA;1;domingo;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não;false
RS;287;JAGUARI;1;domingo;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Céu Claro;Simples;"Declive;Curva;Interseção de Vias";Sim;false
BA;101;IBIRAPITANGA;1;domingo;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não;false
MT;174;COMODORO;1;domingo;Pleno dia;Acumulo de água sobre o pavimento;Colisão frontal;Chuva;Simples;"Reta;Declive";Não;false
MG;356;EUGENOPOLIS;1;domingo;Pleno dia;Velocidade Incompatível;Tombamento;Nublado;Simples;"Curva;Declive";Não;false
SC;470;RODEIO;1;domingo;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;"Reta;Ponte";Não;true
BA;20;SAO DESIDERIO;1;domingo;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Nublado;Simples;Reta;Não;false
BA;101;ITAGIMIRIM;1;domingo;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não;false
MS;267;NOVA ALVORADA DO SUL;1;domingo;Plena Noite;Manobra de mudança de faixa;Colisão com objeto;Céu Claro;Simples;Reta;Não;false
PB;101;MATARACA;1;domingo;Plena Noite;Animais na Pista;Atropelamento de Animal;Céu Claro;Dupla;Reta;Não;false
BA;101;NOVA VICOSA;1;domingo;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Simples;"Declive;Reta";Não;false
ES;393;MUQUI;1;domingo;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;"Declive;Reta";Não;false
BA;324;SALVADOR;1;domingo;Plena Noite;Velocidade Incompatível;Tombamento;Céu Claro;Múltipla;Curva;Sim;false
PE;232;BELO JARDIM;1;segunda-feira;Plena Noite;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Sim;true
PR;277;PALMEIRA;1;segunda-feira;Plena Noite;Transitar na contramão;Colisão frontal;Nublado;Simples;"Declive;Reta";Não;true
SP;381;MAIRIPORA;1;segunda-feira;Amanhecer;Demais falhas mecânicas ou elétricas;Colisão lateral mesmo sentido;Sol;Dupla;"Declive;Reta";Não;false
BA;116;JEQUIE;1;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Curva;Não;false
BA;116;CANDIDO SALES;1;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Simples;"Curva;Declive";Não;false
RJ;101;NITEROI;1;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Ponte;Curva";Não;false
SC;470;BLUMENAU;1;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Céu Claro;Múltipla;Reta;Não;false
PR;277;NOVA LARANJEIRAS;1;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;"Curva;Declive";Não;false
RS;386;FREDERICO WESTPHALEN;1;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sol;Simples;Reta;Não;false
MS;158;PARANAIBA;1;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Céu Claro;Simples;Curva;Não;false
SP;116;JACAREI;1;segunda-feira;Pleno dia;Frear bruscamente;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim;false
SC;282;CAMPOS NOVOS;1;segunda-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Sol;Simples;Interseção de Vias;Não;false
TO;153;COLINAS DO TOCANTINS;1;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não;false
RS;386;SARANDI;1;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não;false
PR;277;GUARAPUAVA;1;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Múltipla;"Aclive;Reta";Não;false
MG;50;DELTA;1;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;"Reta;Aclive";Não;false
PR;277;PARANAGUA;1;segunda-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Simples;"Interseção de Vias;Reta;Rotatória";Sim;false
PR;376;PONTA GROSSA;1;segunda-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Dupla;"Curva;Declive";Não;false
MG;116;GOVERNADOR VALADARES;1;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão transversal;Céu Claro;Simples;Reta;Não;false
BA;101;WENCESLAU GUIMARAES;1;segunda-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;"Reta;Declive";Não;true
MG;153;PRATA;1;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Nublado;Simples;"Declive;Curva";Não;false
MS;158;APARECIDA DO TABOADO;1;segunda-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Chuva;Simples;Reta;Não;false
RS;285;LAGOA VERMELHA;1;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não;true
ES;101;ARACRUZ;1;segunda-feira;Pleno dia;Transitar na contramão;Colisão frontal;Nublado;Simples;Reta;Sim;false
MG;116;DOM CAVATI;1;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Simples;Reta;Sim;false
SC;101;ITAJAI;1;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Múltipla;Reta;Sim;false
MG;40;JUIZ DE FORA;1;segunda-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Nublado;Dupla;Curva;Não;false
SC;470;BLUMENAU;1;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Rotatória;Interseção de Vias";Não;false
RJ;101;ITAGUAI;1;segunda-feira;Pleno dia;Condutor Dormindo;Colisão traseira;Céu Claro;Dupla;Reta;Sim;false
GO;20;FLORES DE GOIAS;1;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão frontal;Nublado;Simples;"Aclive;Reta";Não;false
PR;373;CHOPINZINHO;1;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Interseção de Vias;Não;false
RJ;116;BELFORD ROXO;1;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim;false
MG;262;CAMPOS ALTOS;1;segunda-feira;Pleno dia;Ultrapassagem Indevida;Tombamento;Sol;Simples;Curva;Não;false
SC;101;ARAQUARI;1;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Dupla;Reta;Não;false
PB;104;QUEIMADAS;1;segunda-feira;Anoitecer;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Céu Claro;Simples;Reta;Sim;false
MG;251;PADRE CARVALHO;1;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Nublado;Simples;"Reta;Declive";Não;false
BA;116;SANTO ESTEVAO;1;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim;false
SC;101;ICARA;1;segunda-feira;Anoitecer;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Não;false
BA;349;CORRENTINA;1;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
MG;40;SAO GONCALO DO ABAETE;1;segunda-feira;Pleno dia;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;"Declive;Reta";Não;true
SE;101;ESTANCIA;1;segunda-feira;Plena Noite;Afundamento ou ondulação no pavimento;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Não;true
PE;232;ARCOVERDE;1;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;Curva;Não;false
MG;153;PRATA;1;segunda-feira;Plena Noite;Chuva;Colisão traseira;Chuva;Dupla;Reta;Não;false
PR;277;PARANAGUA;1;segunda-feira;Plena Noite;Desrespeitar a preferência no cruzamento;Colisão transversal;Nublado;Simples;"Interseção de Vias;Reta";Sim;false
MT;70;PRIMAVERA DO LESTE;1;segunda-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Eventos atípicos;Nevoeiro/Neblina;Simples;"Declive;Reta";Não;false
MT;70;GENERAL CARNEIRO;1;segunda-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Nublado;Simples;Reta;Não;true
DF;40;BRASILIA;1;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim;false
PR;153;TIBAGI;1;segunda-feira;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Curva;Declive";Não;true
RR;174;CARACARAI;1;segunda-feira;Plena Noite;Pedestre - Ingestão de álcool/ substâncias psicoativas;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Não;true
BA;324;SIMOES FILHO;1;segunda-feira;Pleno dia;Problema com o freio;Engavetamento;Céu Claro;Simples;Reta;Não;false
PR;116;QUATRO BARRAS;1;segunda-feira;Plena Noite;Objeto estático sobre o leito carroçável;Colisão com objeto;Nublado;Dupla;Reta;Não;false
SP;116;REGISTRO;1;terça-feira;Plena Noite;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Céu Claro;Dupla;Reta;Não;false
SP;116;CAJATI;1;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Tombamento;Garoa/Chuvisco;Simples;Curva;Não;false
SC;470;BLUMENAU;1;terça-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Múltipla;Reta;Sim;false
BA;407;PONTO NOVO;1;terça-feira;Amanhecer;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não;false
CE;116;EUSEBIO;1;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim;false
SE;101;ITAPORANGA DAJUDA;1;terça-feira;Pleno dia;Mal súbito do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não;false
MG;251;SALINAS;1;terça-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;"Reta;Declive";Não;false
