data_inversa;dia_semana;horario;uf;br;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;tipo_pista;tracado_via;uso_solo;mortos;acidente_fatal
2025-08-26;terça-feira;14:30:00;AC;364;BUJARI;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Sol;Simples;Reta;Não;0;false
2025-08-26;terça-feira;21:45:00;DF;70;BRASILIA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;Curva;Sim;0;false
2025-08-26;terça-feira;21:02:00;GO;40;CRISTALINA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Fatais;Plena Noite;Céu Claro;Simples;"Reta;Aclive";Não;1;true
2025-08-26;terça-feira;19:10:00;SC;282;LAGES;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Com Vítimas Feridas;Plena Noite;Chuva;Simples;Reta;Sim;0;false
2025-08-26;terça-feira;19:00:00;RO;364;VILHENA;Manobra de mudança de faixa;Colisão lateral sentido oposto;Sem Vítimas;Plena Noite;Céu Claro;Simples;Reta;Não;0;false
2025-08-26;terça-feira;23:10:00;SP;116;CACAPAVA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Garoa/Chuvisco;Dupla;Reta;Não;0;false
2025-08-27;quarta-feira;04:00:00;SP;116;REGISTRO;Restrição de visibilidade em curvas horizontais;Colisão traseira;Com Vítimas Feridas;Plena Noite;Céu Claro;Dupla;Reta;Não;0;false
2025-08-27;quarta-feira;01:57:00;RJ;101;SILVA JARDIM;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-27;quarta-feira;05:20:00;SC;470;ILHOTA;Condutor Dormindo;Colisão traseira;Com Vítimas Feridas;Pleno dia;Nublado;Dupla;"Aclive;Reta";Não;0;false
2025-08-27;quarta-feira;06:50:00;PR;369;CORBELIA;Condutor Dormindo;Colisão lateral sentido oposto;Com Vítimas Feridas;Amanhecer;Céu Claro;Simples;Curva;Não;0;false
2025-08-27;quarta-feira;08:15:00;SC;101;ITAJAI;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Fatais;Pleno dia;Céu Claro;Múltipla;"Reta;Viaduto;Aclive";Não;1;true
2025-08-13;quarta-feira;10:40:00;SC;282;AGUAS MORNAS;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;"Curva;Aclive";Não;0;false
2025-08-26;terça-feira;04:50:00;SP;381;ATIBAIA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-27;quarta-feira;07:40:00;PR;163;CAPITAO LEONIDAS MARQUES;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;"Reta;Em Obras";Sim;0;false
2025-08-27;quarta-feira;07:15:00;PR;369;ROLANDIA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Reta;Sim;0;false
2025-08-27;quarta-feira;04:00:00;PE;428;CABROBO;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Amanhecer;Céu Claro;Simples;Reta;Não;0;false
2025-08-27;quarta-feira;14:15:00;ES;262;MUNIZ FREIRE;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Interseção de Vias;Não;0;false
2025-08-27;quarta-feira;15:40:00;GO;80;PADRE BERNARDO;Reação tardia ou ineficiente do condutor;Colisão frontal;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Reta;Não;0;false
2025-08-27;quarta-feira;14:00:00;RO;364;CANDEIAS DO JAMARI;Manobra de mudança de faixa;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Reta;Não;0;false
2025-08-27;quarta-feira;16:15:00;SE;101;CRISTINAPOLIS;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Reta;Sim;0;false
2025-08-27;quarta-feira;17:50:00;RS;116;VACARIA;Desrespeitar a preferência no cruzamento;Colisão transversal;Com Vítimas Feridas;Anoitecer;Céu Claro;Simples;"Reta;Interseção de Vias";Sim;0;false
2025-08-27;quarta-feira;11:10:00;BA;116;MILAGRES;Condutor Dormindo;Tombamento;Com Vítimas Feridas;Pleno dia;Nublado;Simples;Curva;Não;0;false
2025-08-27;quarta-feira;14:00:00;SC;470;BLUMENAU;Conversão proibida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Nublado;Simples;Reta;Sim;0;false
2025-07-12;sábado;00:00:00;GO;70;COCALZINHO DE GOIAS;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;Reta;Não;0;false
2025-08-27;quarta-feira;07:40:00;MS;267;NOVA ALVORADA DO SUL;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Fatais;Pleno dia;Céu Claro;Simples;Reta;Não;2;true
2025-08-27;quarta-feira;10:50:00;BA;116;NOVA ITARANA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;"Declive;Curva";Não;0;false
2025-08-27;quarta-feira;02:10:00;MS;262;AGUA CLARA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-27;quarta-feira;08:15:00;MG;116;SAO FRANCISCO DO GLORIA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Pleno dia;Nublado;Simples;Curva;Não;0;false
2025-08-27;quarta-feira;19:15:00;RS;392;RIO GRANDE;Demais falhas mecânicas ou elétricas;Eventos atípicos;Sem Vítimas;Plena Noite;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-26;terça-feira;08:45:00;BA;324;AMELIA RODRIGUES;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Pleno dia;Céu Claro;Dupla;Reta;Não;0;false
2025-08-27;quarta-feira;12:30:00;SC;101;IMBITUBA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Nublado;Dupla;"Reta;Aclive";Não;0;false
2025-08-23;sábado;15:15:00;RS;470;BARRACAO;Ausência de sinalização;Tombamento;Com Vítimas Feridas;Pleno dia;Chuva;Simples;"Declive;Curva";Não;0;false
2025-08-27;quarta-feira;18:30:00;MA;316;CAXIAS;Ingestão de álcool pelo condutor;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;Reta;Sim;0;false
2025-08-27;quarta-feira;16:30:00;GO;153;ANAPOLIS;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Pleno dia;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-27;quarta-feira;19:00:00;SE;101;ITAPORANGA DAJUDA;Ausência de reação do condutor;Colisão com objeto;Sem Vítimas;Plena Noite;Chuva;Dupla;"Declive;Curva;Retorno Regulamentado";Não;0;false
2025-08-27;quarta-feira;18:25:00;PI;316;TERESINA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Fatais;Plena Noite;Céu Claro;Múltipla;"Declive;Interseção de Vias";Sim;1;true
2025-08-27;quarta-feira;20:10:00;PR;369;LONDRINA;Ausência de reação do condutor;Engavetamento;Sem Vítimas;Plena Noite;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-26;terça-feira;09:30:00;PA;163;ITAITUBA;Ultrapassagem Indevida;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Reta;Sim;0;false
2025-08-27;quarta-feira;08:20:00;BA;116;CANDIDO SALES;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Curva;Não;0;false
2025-08-27;quarta-feira;20:30:00;PE;104;TORITAMA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;Rotatória;Sim;0;false
2025-08-26;terça-feira;19:12:00;PA;163;ITAITUBA;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Plena Noite;Nublado;Simples;Curva;Não;0;false
2025-08-27;quarta-feira;09:30:00;MG;40;LAGOA GRANDE;Reação tardia ou ineficiente do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Céu Claro;Simples;"Reta;Ponte";Não;0;false
2025-08-27;quarta-feira;19:00:00;RJ;101;MACAE;Condutor deixou de manter distância do veículo da frente;Engavetamento;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;Curva;Não;0;false
2025-08-27;quarta-feira;08:30:00;RO;421;MONTE NEGRO;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Reta;Não;0;false
2025-08-27;quarta-feira;14:10:00;MG;116;GOVERNADOR VALADARES;Condutor Dormindo;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Reta;Não;0;false
2025-08-27;quarta-feira;18:40:00;MA;222;SANTA LUZIA;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;"Declive;Curva";Não;0;false
2025-08-27;quarta-feira;23:00:00;RJ;101;ITABORAI;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-28;quinta-feira;00:20:00;PE;101;IGARASSU;Ausência de reação do condutor;Saída de leito carroçável;Sem Vítimas;Plena Noite;Céu Claro;Múltipla;Reta;Sim;0;false
2025-08-28;quinta-feira;01:00:00;MG;381;CAREACU;Reação tardia ou ineficiente do condutor;Colisão com objeto;Com Vítimas Feridas;Plena Noite;Chuva;Dupla;"Reta;Declive";Não;0;false
2025-08-28;quinta-feira;00:56:00;SP;116;ITAPECERICA DA SERRA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Sem Vítimas;Plena Noite;Garoa/Chuvisco;Dupla;Reta;Não;0;false
2025-08-28;quinta-feira;02:50:00;TO;153;FATIMA;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Plena Noite;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-28;quinta-feira;02:00:00;MG;381;BRUMADINHO;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Céu Claro;Dupla;"Declive;Curva";Não;0;false
2025-08-28;quinta-feira;02:50:00;PE;423;JUPI;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;"Aclive;Reta";Não;0;false
2025-08-28;quinta-feira;05:00:00;RJ;40;DUQUE DE CAXIAS;Demais falhas mecânicas ou elétricas;Incêndio;Sem Vítimas;Amanhecer;Nublado;Simples;Reta;Não;0;false
2025-08-28;quinta-feira;03:30:00;PE;408;ALIANCA;Ausência de reação do condutor;Tombamento;Com Vítimas Fatais;Plena Noite;Céu Claro;Simples;"Declive;Curva;Ponte";Não;1;true
2025-08-28;quinta-feira;05:30:00;MG;262;ARAUJOS;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Fatais;Amanhecer;Céu Claro;Simples;Reta;Não;1;true
2025-08-28;quinta-feira;05:50:00;PE;101;RECIFE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Amanhecer;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-28;quinta-feira;05:30:00;GO;60;ALEXANIA;Demais falhas mecânicas ou elétricas;Tombamento;Com Vítimas Feridas;Amanhecer;Céu Claro;Dupla;"Declive;Curva";Não;0;false
2025-08-28;quinta-feira;05:40:00;MG;381;EXTREMA;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Amanhecer;Céu Claro;Dupla;"Aclive;Curva";Não;0;false
2025-08-28;quinta-feira;04:50:00;CE;222;COREAU;Demais falhas mecânicas ou elétricas;Tombamento;Com Vítimas Feridas;Amanhecer;Céu Claro;Simples;Reta;Não;0;false
2025-08-28;quinta-feira;06:30:00;PR;369;LONDRINA;Manobra de mudança de faixa;Colisão transversal;Sem Vítimas;Pleno dia;Nublado;Dupla;"Reta;Interseção de Vias";Sim;0;false
2025-08-28;quinta-feira;07:45:00;RS;386;ESTRELA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Nublado;Dupla;Reta;Não;0;false
2025-08-28;quinta-feira;03:15:00;BA;242;ITABERABA;Velocidade Incompatível;Tombamento;Com Vítimas Feridas;Plena Noite;Nublado;Simples;"Curva;Aclive";Não;0;false
2025-08-28;quinta-feira;07:20:00;MG;365;PATROCINIO;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Fatais;Pleno dia;Céu Claro;Simples;Reta;Não;1;true
2025-08-19;terça-feira;10:20:00;CE;116;JAGUARIBARA;Velocidade Incompatível;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Sol;Simples;"Reta;Em Obras;Declive";Não;0;false
2025-08-28;quinta-feira;09:00:00;RS;472;SANTO CRISTO;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Pleno dia;Céu Claro;Simples;"Curva;Interseção de Vias";Sim;1;true
2025-08-28;quinta-feira;06:30:00;PA;163;TRAIRAO;Pedestre andava na pista;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Reta;Não;0;false
2025-08-28;quinta-feira;09:50:00;RJ;101;RIO DE JANEIRO;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Pleno dia;Céu Claro;Dupla;Interseção de Vias;Não;0;false
2025-08-28;quinta-feira;00:05:00;RR;174;RORAINOPOLIS;Velocidade Incompatível;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;Ponte;Não;0;false
2025-08-28;quinta-feira;11:50:00;GO;40;LUZIANIA;Pedestre - Ingestão de álcool/ substâncias psicoativas;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;Reta;Não;0;false
2025-08-28;quinta-feira;11:50:00;GO;50;CUMARI;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;Curva;Não;0;false
2025-08-28;quinta-feira;11:20:00;PB;427;POMBAL;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;"Reta;Interseção de Vias";Sim;0;false
2025-08-28;quinta-feira;11:56:00;SP;116;GUARULHOS;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Céu Claro;Múltipla;"Reta;Em Obras";Sim;0;false
