id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
652865;03/01/2025;sexta-feira;03:30:00;MG;381;484,5;BETIM;Acumulo de água sobre o pavimento;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Múltipla;"Curva;Declive";Não;3;0;0;1;1;1;1;3;-19,95838414;-44,09173965;SPRF-MG;DEL01-MG;UOP03-DEL01-MG
652867;03/01/2025;sexta-feira;04:12:00;PE;101;29;IGARASSU;Manobra de mudança de faixa;Colisão traseira;Sem Vítimas;Amanhecer;Decrescente;Vento;Dupla;Reta;Não;2;0;0;0;2;0;0;2;-7,72939697;-34,94185854;SPRF-PE;DEL01-PE;UOP02-DEL01-PE
652869;03/01/2025;sexta-feira;05:03:00;ES;101;294,5;CARIACICA;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Amanhecer;Crescente;Nublado;Dupla;"Aclive;Reta";Sim;4;0;0;1;2;4;1;7;-20,32415948;-40,3952903;SPRF-ES;DEL01-ES;UOP01-DEL01-ES
652873;03/01/2025;sexta-feira;06:10:00;BA;116;929,3;ENCRUZILHADA;Transitar na contramão;Colisão frontal;Com Vítimas Fatais;Amanhecer;Crescente;Céu Claro;Simples;"Declive;Reta";Não;8;5;0;0;2;3;0;6;-15,66638;-41,31508;SPRF-BA;DEL08-BA;UOP03-DEL08-BA
652883;03/01/2025;sexta-feira;07:08:00;PB;101;86;BAYEUX;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Declive;Sim;2;0;0;1;0;1;1;2;-7,15118983;-34,91012184;SPRF-PB;DEL01-PB;UOP01-DEL01-PB
652885;03/01/2025;sexta-feira;07:30:00;MG;251;356,9;FRUTA DE LEITE;Reação tardia ou ineficiente do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Não;3;0;1;0;1;2;1;3;-16,27029;-42,56126;SPRF-MG;DEL12-MG;UOP02-DEL12-MG
652889;03/01/2025;sexta-feira;06:30:00;PE;232;276;SERTANIA;Carga excessiva e/ou mal acondicionada;Derramamento de carga;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;3;0;0;1;1;1;1;2;-8,37073085;-37,26126285;SPRF-PE;DEL04-PE;UOP02-DEL04-PE
652909;03/01/2025;sexta-feira;10:00:00;SP;116;509;CAJATI;Curva acentuada;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Curva;Declive";Não;4;0;3;0;0;1;3;2;-24,82178987;-48,21419034;SPRF-SP;DEL05-SP;UOP02-DEL05-SP
652918;03/01/2025;sexta-feira;09:10:00;RO;364;15;VILHENA;Área urbana sem a presença de local apropriado para a travessia de pedestres;Colisão lateral sentido oposto;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;Sim;3;0;0;1;1;2;1;4;-12,73672751;-60,14804088;SPRF-RO;DEL04-RO;UOP01-DEL04-RO
652920;03/01/2025;sexta-feira;11:05:00;PE;232;5,5;RECIFE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Sim;4;0;0;0;3;1;0;4;-8,069481;-34,9491;SPRF-PE;DEL01-PE;UOP01-DEL01-PE
