id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;feridos;ilesos;ignorados;veiculos;latitude;longitude;regional;delegacia;uop
759521;19/03/2026;quinta-feira;18:40:00;RO;364;341;JI-PARANA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Simples;"Ponte;Reta";Sim;2;0;1;0;1;1;0;2;-10,88893948;-61,93157673;SPRF-RO;DEL02-RO;UOP01-DEL02-RO
759522;20/03/2026;sexta-feira;07:40:00;PR;376;616;SAO JOSE DOS PINHAIS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;2;0;1;0;1;1;0;2;-25,583338;-49,17711709;SPRF-PR;DEL01/PR;UOP04-DEL01-PR
759523;20/03/2026;sexta-feira;06:50:00;SC;101;134,8;BALNEARIO CAMBORIU;Trafegar com motocicleta (ou similar) entre as faixas;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;1;0;0;1;1;0;0;1;-27,00438466;-48,62995148;SPRF-SC;DEL04/SC;UOP03-DEL04-SC
759524;20/03/2026;sexta-feira;08:10:00;MG;381;705,7;LAVRAS;Reação tardia ou ineficiente do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Curva;Não;4;0;1;0;1;3;0;1;-21,32535802;-45,16702652;SPRF-MG;DEL04/MG;UOP02-DEL04-MG
759525;20/03/2026;sexta-feira;07:48:00;PE;101;42;IGARASSU;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;"Reta;Retorno Regulamentado";Sim;2;0;1;0;1;1;0;2;-7,84460179;-34,91046309;SPRF-PE;DEL01/PE;UOP02-DEL01-PE
759526;20/03/2026;sexta-feira;07:50:00;RJ;493;6;ITABORAI;Pista esburacada;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;"Em Obras;Reta";Sim;2;0;1;0;1;1;0;1;-22,7387572;-42,95397878;SPRF-RJ;DEL02/RJ;UOP02-DEL02-RJ
759527;01/02/2026;domingo;17:20:00;RN;406;104,2;JOAO CAMARA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Interseção de Vias;Reta";Sim;2;0;0;1;1;1;0;2;-5,541193;-35,803763;SPRF-RN;DEL02-RN;UOP01-DEL02-RN
759528;20/03/2026;sexta-feira;08:39:00;PE;101;70;RECIFE;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;1;0;2;-8,066605;-34,942035;SPRF-PE;DEL01/PE;UOP01-DEL01-PE
759529;07/03/2026;sábado;07:30:00;PR;376;186;MARIALVA;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Aclive;Sim;2;0;2;0;2;0;0;2;-23,45622;-51,845469;SPRF-PR;DEL09/PR;UOP01-DEL09-PR
759530;20/03/2026;sexta-feira;08:50:00;SP;153;65;SAO JOSE DO RIO PRETO;Mal súbito do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;1;0;1;0;1;0;0;1;-20,84033534;-49,3687563;SPRF-SP;DEL09/SP;UOP01-DEL09-SP
759531;20/03/2026;sexta-feira;09:00:00;SC;101;415,1;ARARANGUA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;2;0;0;1;1;1;0;2;-28,973872;-49,530632;SPRF-SC;DEL02/SC;UOP02-DEL02-SC
759532;20/03/2026;sexta-feira;09:28:00;PE;101;69;RECIFE;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;0;1;1;0;0;2;-8,060053;-34,945608;SPRF-PE;DEL01/PE;UOP01-DEL01-PE
759535;20/03/2026;sexta-feira;09:10:00;GO;40;13;LUZIANIA;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;3;0;2;0;2;1;0;2;-16,150282;-47,940722;SPRF-DF;DEL01-DF;UOP01-DEL01-DF
759537;20/03/2026;sexta-feira;09:30:00;PE;423;93,4;GARANHUNS;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;3;0;0;0;0;3;0;2;-8,871798;-36,46639;SPRF-PE;DEL03/PE;UOP01-DEL03-PE
759538;19/03/2026;quinta-feira;16:10:00;RJ;40;59;PETROPOLIS;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;Não;5;0;4;0;4;1;0;2;-22,2840136;-43,11309814;SPRF-RJ;DEL05/RJ;UOP02-DEL05-RJ
759540;20/03/2026;sexta-feira;09:50:00;ES;101;126,9;SOORETAMA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;"Declive;Reta";Sim;4;0;0;1;1;3;0;2;-19,20283126;-40,09576781;SPRF-ES;DEL04-ES;UOP01-DEL04-ES
